date,exchange_rate
2009-11-02,0.00
2009-11-04,0.00
2009-11-06,0.00
2009-11-08,0.00
2009-11-10,0.00
2009-11-12,0.00
2009-11-14,0.00
2009-11-16,0.00
2009-11-18,0.00
2009-11-20,0.00
2009-11-22,0.00
2009-11-24,0.00
2009-11-26,0.00
2009-11-28,0.00
2009-11-30,0.00
2009-12-02,0.00
2009-12-04,0.00
2009-12-06,0.00
2009-12-08,0.00
2009-12-10,0.00
2009-12-12,0.00
2009-12-14,0.00
2009-12-16,0.00
2009-12-18,0.00
2009-12-20,0.00
2009-12-22,0.00
2009-12-24,0.00
2009-12-26,0.00
2009-12-28,0.00
2009-12-30,0.00
2010-01-01,0.00
2010-01-03,0.00
2010-01-05,0.00
2010-01-07,0.00
2010-01-09,0.00
2010-01-11,0.00
2010-01-13,0.00
2010-01-15,0.00
2010-01-17,0.00
2010-01-19,0.00
2010-01-21,0.00
2010-01-23,0.00
2010-01-25,0.00
2010-01-27,0.00
2010-01-29,0.00
2010-01-31,0.00
2010-02-02,0.00
2010-02-04,0.00
2010-02-06,0.00
2010-02-08,0.00
2010-02-10,0.00
2010-02-12,0.00
2010-02-14,0.00
2010-02-16,0.00
2010-02-18,0.00
2010-02-20,0.00
2010-02-22,0.00
2010-02-24,0.00
2010-02-26,0.00
2010-02-28,0.00
2010-03-02,0.00
2010-03-04,0.00
2010-03-06,0.00
2010-03-08,0.00
2010-03-10,0.00
2010-03-12,0.00
2010-03-14,0.00
2010-03-16,0.00
2010-03-18,0.00
2010-03-20,0.00
2010-03-22,0.00
2010-03-24,0.00
2010-03-26,0.00
2010-03-28,0.00
2010-03-30,0.00
2010-04-01,0.00
2010-04-03,0.00
2010-04-05,0.00
2010-04-07,0.00
2010-04-09,0.00
2010-04-11,0.00
2010-04-13,0.00
2010-04-15,0.00
2010-04-17,0.00
2010-04-19,0.00
2010-04-21,0.00
2010-04-23,0.00
2010-04-25,0.00
2010-04-27,0.00
2010-04-29,0.00
2010-05-01,0.00
2010-05-03,0.00
2010-05-05,0.00
2010-05-07,0.00
2010-05-09,0.00
2010-05-11,0.00
2010-05-13,0.00
2010-05-15,0.00
2010-05-17,0.00
2010-05-19,0.00
2010-05-21,0.00
2010-05-23,0.00
2010-05-25,0.00
2010-05-27,0.00
2010-05-29,0.00
2010-05-31,0.00
2010-06-02,0.00
2010-06-04,0.00
2010-06-06,0.00
2010-06-08,0.00
2010-06-10,0.00
2010-06-12,0.00
2010-06-14,0.00
2010-06-16,0.00
2010-06-18,0.00
2010-06-20,0.00
2010-06-22,0.00
2010-06-24,0.00
2010-06-26,0.00
2010-06-28,0.00
2010-06-30,0.00
2010-07-02,0.00
2010-07-04,0.00
2010-07-06,0.00
2010-07-08,0.00
2010-07-10,0.00
2010-07-12,0.00
2010-07-14,0.00
2010-07-16,0.00
2010-07-18,0.26
2010-07-20,0.28
2010-07-22,0.30
2010-07-24,0.32
2010-07-26,0.34
2010-07-28,0.36
2010-07-30,0.38
2010-08-01,0.40
2010-08-03,0.42
2010-08-05,0.44
2010-08-07,0.46
2010-08-09,0.48
2010-08-11,0.50
2010-08-13,0.52
2010-08-15,0.54
2010-08-17,0.06
2010-08-19,0.08
2010-08-21,0.10
2010-08-23,0.12
2010-08-25,0.14
2010-08-27,0.16
2010-08-29,0.18
2010-08-31,0.20
2010-09-02,0.22
2010-09-04,0.24
2010-09-06,0.26
2010-09-08,0.28
2010-09-10,0.30
2010-09-12,0.32
2010-09-14,0.34
2010-09-16,0.36
2010-09-18,0.38
2010-09-20,0.40
2010-09-22,0.42
2010-09-24,0.44
2010-09-26,0.46
2010-09-28,0.48
2010-09-30,0.50
2010-10-02,0.52
2010-10-04,0.54
2010-10-06,0.06
2010-10-08,0.08
2010-10-10,0.10
2010-10-12,0.12
2010-10-14,0.14
2010-10-16,0.16
2010-10-18,0.18
2010-10-20,0.20
2010-10-22,0.22
2010-10-24,0.24
2010-10-26,0.26
2010-10-28,0.28
2010-10-30,0.30
2010-11-01,0.32
2010-11-03,0.34
2010-11-05,0.36
2010-11-07,0.38
2010-11-09,0.40
2010-11-11,0.42
2010-11-13,0.44
2010-11-15,0.46
2010-11-17,0.48
2010-11-19,0.50
2010-11-21,0.52
2010-11-23,0.54
2010-11-25,0.06
2010-11-27,0.08
2010-11-29,0.10
2010-12-01,0.12
2010-12-03,0.14
2010-12-05,0.16
2010-12-07,0.18
2010-12-09,0.20
2010-12-11,0.22
2010-12-13,0.24
2010-12-15,0.26
2010-12-17,0.28
2010-12-19,0.30
2010-12-21,0.32
2010-12-23,0.34
2010-12-25,0.36
2010-12-27,0.38
2010-12-29,0.40
2010-12-31,0.42
2011-01-02,7.25
2011-01-04,7.35
2011-01-06,7.45
2011-01-08,7.55
2011-01-10,7.65
2011-01-12,7.75
2011-01-14,7.85
2011-01-16,7.95
2011-01-18,8.05
2011-01-20,8.15
2011-01-22,8.25
2011-01-24,8.35
2011-01-26,8.45
2011-01-28,8.55
2011-01-30,8.65
2011-02-01,8.75
2011-02-03,8.85
2011-02-05,8.95
2011-02-07,9.05
2011-02-09,9.15
2011-02-11,9.25
2011-02-13,9.35
2011-02-15,9.45
2011-02-17,9.55
2011-02-19,9.65
2011-02-21,9.75
2011-02-23,9.85
2011-02-25,9.95
2011-02-27,10.05
2011-03-01,10.15
2011-03-03,10.25
2011-03-05,0.35
2011-03-07,0.45
2011-03-09,0.55
2011-03-11,0.65
2011-03-13,0.75
2011-03-15,0.85
2011-03-17,0.95
2011-03-19,1.05
2011-03-21,1.15
2011-03-23,1.25
2011-03-25,1.35
2011-03-27,1.45
2011-03-29,1.55
2011-03-31,1.65
2011-04-02,1.75
2011-04-04,1.85
2011-04-06,1.95
2011-04-08,2.05
2011-04-10,2.15
2011-04-12,2.25
2011-04-14,2.35
2011-04-16,2.45
2011-04-18,2.55
2011-04-20,2.65
2011-04-22,2.75
2011-04-24,2.85
2011-04-26,2.95
2011-04-28,3.05
2011-04-30,3.15
2011-05-02,3.25
2011-05-04,3.35
2011-05-06,3.45
2011-05-08,3.55
2011-05-10,3.65
2011-05-12,3.75
2011-05-14,3.85
2011-05-16,3.95
2011-05-18,4.05
2011-05-20,4.15
2011-05-22,4.25
2011-05-24,4.35
2011-05-26,4.45
2011-05-28,4.55
2011-05-30,4.65
2011-06-01,4.75
2011-06-03,4.85
2011-06-05,4.95
2011-06-07,5.05
2011-06-09,5.15
2011-06-11,5.25
2011-06-13,5.35
2011-06-15,5.45
2011-06-17,5.55
2011-06-19,5.65
2011-06-21,5.75
2011-06-23,5.85
2011-06-25,5.95
2011-06-27,6.05
2011-06-29,6.15
2011-07-01,6.25
2011-07-03,6.35
2011-07-05,6.45
2011-07-07,6.55
2011-07-09,6.65
2011-07-11,6.75
2011-07-13,6.85
2011-07-15,6.95
2011-07-17,7.05
2011-07-19,7.15
2011-07-21,7.25
2011-07-23,7.35
2011-07-25,7.45
2011-07-27,7.55
2011-07-29,7.65
2011-07-31,7.75
2011-08-02,7.85
2011-08-04,7.95
2011-08-06,8.05
2011-08-08,8.15
2011-08-10,8.25
2011-08-12,8.35
2011-08-14,8.45
2011-08-16,8.55
2011-08-18,8.65
2011-08-20,8.75
2011-08-22,8.85
2011-08-24,8.95
2011-08-26,9.05
2011-08-28,9.15
2011-08-30,9.25
2011-09-01,9.35
2011-09-03,9.45
2011-09-05,9.55
2011-09-07,9.65
2011-09-09,9.75
2011-09-11,9.85
2011-09-13,9.95
2011-09-15,10.05
2011-09-17,10.15
2011-09-19,10.25
2011-09-21,0.35
2011-09-23,0.45
2011-09-25,0.55
2011-09-27,0.65
2011-09-29,0.75
2011-10-01,0.85
2011-10-03,0.95
2011-10-05,1.05
2011-10-07,1.15
2011-10-09,1.25
2011-10-11,1.35
2011-10-13,1.45
2011-10-15,1.55
2011-10-17,1.65
2011-10-19,1.75
2011-10-21,1.85
2011-10-23,1.95
2011-10-25,2.05
2011-10-27,2.15
2011-10-29,2.25
2011-10-31,2.35
2011-11-02,2.45
2011-11-04,2.55
2011-11-06,2.65
2011-11-08,2.75
2011-11-10,2.85
2011-11-12,2.95
2011-11-14,3.05
2011-11-16,3.15
2011-11-18,3.25
2011-11-20,3.35
2011-11-22,3.45
2011-11-24,3.55
2011-11-26,3.65
2011-11-28,3.75
2011-11-30,3.85
2011-12-02,3.95
2011-12-04,4.05
2011-12-06,4.15
2011-12-08,4.25
2011-12-10,4.35
2011-12-12,4.45
2011-12-14,4.55
2011-12-16,4.65
2011-12-18,4.75
2011-12-20,4.85
2011-12-22,4.95
2011-12-24,5.05
2011-12-26,5.15
2011-12-28,5.25
2011-12-30,5.35
2012-01-01,5.45
2012-01-03,5.55
2012-01-05,5.65
2012-01-07,5.75
2012-01-09,5.85
2012-01-11,5.95
2012-01-13,6.05
2012-01-15,6.15
2012-01-17,6.25
2012-01-19,6.35
2012-01-21,6.45
2012-01-23,6.55
2012-01-25,6.65
2012-01-27,6.75
2012-01-29,6.85
2012-01-31,6.95
2012-02-02,7.05
2012-02-04,7.15
2012-02-06,7.25
2012-02-08,7.35
2012-02-10,7.45
2012-02-12,7.55
2012-02-14,7.65
2012-02-16,7.75
2012-02-18,7.85
2012-02-20,7.95
2012-02-22,8.05
2012-02-24,8.15
2012-02-26,8.25
2012-02-28,8.35
2012-03-01,8.45
2012-03-03,8.55
2012-03-05,8.65
2012-03-07,8.75
2012-03-09,8.85
2012-03-11,8.95
2012-03-13,9.05
2012-03-15,9.15
2012-03-17,9.25
2012-03-19,9.35
2012-03-21,9.45
2012-03-23,9.55
2012-03-25,9.65
2012-03-27,9.75
2012-03-29,9.85
2012-03-31,9.95
2012-04-02,10.05
2012-04-04,10.15
2012-04-06,10.25
2012-04-08,0.35
2012-04-10,0.45
2012-04-12,0.55
2012-04-14,0.65
2012-04-16,0.75
2012-04-18,0.85
2012-04-20,0.95
2012-04-22,1.05
2012-04-24,1.15
2012-04-26,1.25
2012-04-28,1.35
2012-04-30,1.45
2012-05-02,1.55
2012-05-04,1.65
2012-05-06,1.75
2012-05-08,1.85
2012-05-10,1.95
2012-05-12,2.05
2012-05-14,2.15
2012-05-16,2.25
2012-05-18,2.35
2012-05-20,2.45
2012-05-22,2.55
2012-05-24,2.65
2012-05-26,2.75
2012-05-28,2.85
2012-05-30,2.95
2012-06-01,3.05
2012-06-03,3.15
2012-06-05,3.25
2012-06-07,3.35
2012-06-09,3.45
2012-06-11,3.55
2012-06-13,3.65
2012-06-15,3.75
2012-06-17,3.85
2012-06-19,3.95
2012-06-21,4.05
2012-06-23,4.15
2012-06-25,4.25
2012-06-27,4.35
2012-06-29,4.45
2012-07-01,4.55
2012-07-03,4.65
2012-07-05,4.75
2012-07-07,4.85
2012-07-09,4.95
2012-07-11,5.05
2012-07-13,5.15
2012-07-15,5.25
2012-07-17,5.35
2012-07-19,5.45
2012-07-21,5.55
2012-07-23,5.65
2012-07-25,5.75
2012-07-27,5.85
2012-07-29,5.95
2012-07-31,6.05
2012-08-02,6.15
2012-08-04,6.25
2012-08-06,6.35
2012-08-08,6.45
2012-08-10,6.55
2012-08-12,6.65
2012-08-14,6.75
2012-08-16,6.85
2012-08-18,6.95
2012-08-20,7.05
2012-08-22,7.15
2012-08-24,7.25
2012-08-26,7.35
2012-08-28,7.45
2012-08-30,7.55
2012-09-01,7.65
2012-09-03,7.75
2012-09-05,7.85
2012-09-07,7.95
2012-09-09,8.05
2012-09-11,8.15
2012-09-13,8.25
2012-09-15,8.35
2012-09-17,8.45
2012-09-19,8.55
2012-09-21,8.65
2012-09-23,8.75
2012-09-25,8.85
2012-09-27,8.95
2012-09-29,9.05
2012-10-01,9.15
2012-10-03,9.25
2012-10-05,9.35
2012-10-07,9.45
2012-10-09,9.55
2012-10-11,9.65
2012-10-13,9.75
2012-10-15,9.85
2012-10-17,9.95
2012-10-19,10.05
2012-10-21,10.15
2012-10-23,10.25
2012-10-25,0.35
2012-10-27,0.45
2012-10-29,0.55
2012-10-31,0.65
2012-11-02,0.75
2012-11-04,0.85
2012-11-06,0.95
2012-11-08,1.05
2012-11-10,1.15
2012-11-12,1.25
2012-11-14,1.35
2012-11-16,1.45
2012-11-18,1.55
2012-11-20,1.65
2012-11-22,1.75
2012-11-24,1.85
2012-11-26,1.95
2012-11-28,2.05
2012-11-30,2.15
2012-12-02,2.25
2012-12-04,2.35
2012-12-06,2.45
2012-12-08,2.55
2012-12-10,2.65
2012-12-12,2.75
2012-12-14,2.85
2012-12-16,2.95
2012-12-18,3.05
2012-12-20,3.15
2012-12-22,3.25
2012-12-24,3.35
2012-12-26,3.45
2012-12-28,3.55
2012-12-30,3.65
2013-01-01,569.00
2013-01-03,571.00
2013-01-05,573.00
2013-01-07,575.00
2013-01-09,577.00
2013-01-11,579.00
2013-01-13,581.00
2013-01-15,583.00
2013-01-17,585.00
2013-01-19,587.00
2013-01-21,589.00
2013-01-23,591.00
2013-01-25,593.00
2013-01-27,595.00
2013-01-29,597.00
2013-01-31,599.00
2013-02-02,601.00
2013-02-04,603.00
2013-02-06,605.00
2013-02-08,607.00
2013-02-10,609.00
2013-02-12,611.00
2013-02-14,613.00
2013-02-16,615.00
2013-02-18,617.00
2013-02-20,619.00
2013-02-22,621.00
2013-02-24,623.00
2013-02-26,625.00
2013-02-28,627.00
2013-03-02,629.00
2013-03-04,631.00
2013-03-06,633.00
2013-03-08,635.00
2013-03-10,637.00
2013-03-12,639.00
2013-03-14,641.00
2013-03-16,643.00
2013-03-18,645.00
2013-03-20,647.00
2013-03-22,649.00
2013-03-24,651.00
2013-03-26,653.00
2013-03-28,655.00
2013-03-30,657.00
2013-04-01,659.00
2013-04-03,661.00
2013-04-05,663.00
2013-04-07,665.00
2013-04-09,667.00
2013-04-11,669.00
2013-04-13,671.00
2013-04-15,673.00
2013-04-17,675.00
2013-04-19,677.00
2013-04-21,679.00
2013-04-23,681.00
2013-04-25,683.00
2013-04-27,685.00
2013-04-29,687.00
2013-05-01,689.00
2013-05-03,691.00
2013-05-05,693.00
2013-05-07,695.00
2013-05-09,697.00
2013-05-11,699.00
2013-05-13,701.00
2013-05-15,703.00
2013-05-17,705.00
2013-05-19,707.00
2013-05-21,709.00
2013-05-23,711.00
2013-05-25,713.00
2013-05-27,715.00
2013-05-29,717.00
2013-05-31,719.00
2013-06-02,721.00
2013-06-04,723.00
2013-06-06,725.00
2013-06-08,727.00
2013-06-10,729.00
2013-06-12,731.00
2013-06-14,733.00
2013-06-16,735.00
2013-06-18,737.00
2013-06-20,739.00
2013-06-22,741.00
2013-06-24,743.00
2013-06-26,745.00
2013-06-28,747.00
2013-06-30,749.00
2013-07-02,751.00
2013-07-04,753.00
2013-07-06,755.00
2013-07-08,757.00
2013-07-10,759.00
2013-07-12,761.00
2013-07-14,763.00
2013-07-16,765.00
2013-07-18,767.00
2013-07-20,769.00
2013-07-22,771.00
2013-07-24,773.00
2013-07-26,775.00
2013-07-28,777.00
2013-07-30,779.00
2013-08-01,781.00
2013-08-03,783.00
2013-08-05,785.00
2013-08-07,787.00
2013-08-09,789.00
2013-08-11,791.00
2013-08-13,793.00
2013-08-15,795.00
2013-08-17,797.00
2013-08-19,799.00
2013-08-21,801.00
2013-08-23,803.00
2013-08-25,805.00
2013-08-27,807.00
2013-08-29,809.00
2013-08-31,811.00
2013-09-02,813.00
2013-09-04,815.00
2013-09-06,817.00
2013-09-08,819.00
2013-09-10,821.00
2013-09-12,823.00
2013-09-14,825.00
2013-09-16,827.00
2013-09-18,829.00
2013-09-20,831.00
2013-09-22,833.00
2013-09-24,835.00
2013-09-26,837.00
2013-09-28,839.00
2013-09-30,841.00
2013-10-02,843.00
2013-10-04,845.00
2013-10-06,847.00
2013-10-08,849.00
2013-10-10,851.00
2013-10-12,853.00
2013-10-14,855.00
2013-10-16,857.00
2013-10-18,859.00
2013-10-20,861.00
2013-10-22,863.00
2013-10-24,865.00
2013-10-26,867.00
2013-10-28,869.00
2013-10-30,871.00
2013-11-01,873.00
2013-11-03,875.00
2013-11-05,877.00
2013-11-07,879.00
2013-11-09,881.00
2013-11-11,883.00
2013-11-13,885.00
2013-11-15,887.00
2013-11-17,889.00
2013-11-19,891.00
2013-11-21,893.00
2013-11-23,895.00
2013-11-25,897.00
2013-11-27,899.00
2013-11-29,101.00
2013-12-01,103.00
2013-12-03,105.00
2013-12-05,107.00
2013-12-07,109.00
2013-12-09,111.00
2013-12-11,113.00
2013-12-13,115.00
2013-12-15,117.00
2013-12-17,119.00
2013-12-19,121.00
2013-12-21,123.00
2013-12-23,125.00
2013-12-25,127.00
2013-12-27,129.00
2013-12-29,131.00
2013-12-31,133.00
2014-01-02,135.00
2014-01-04,137.00
2014-01-06,139.00
2014-01-08,141.00
2014-01-10,143.00
2014-01-12,145.00
2014-01-14,147.00
2014-01-16,149.00
2014-01-18,151.00
2014-01-20,153.00
2014-01-22,155.00
2014-01-24,157.00
2014-01-26,159.00
2014-01-28,161.00
2014-01-30,163.00
2014-02-01,165.00
2014-02-03,167.00
2014-02-05,169.00
2014-02-07,171.00
2014-02-09,173.00
2014-02-11,175.00
2014-02-13,177.00
2014-02-15,179.00
2014-02-17,181.00
2014-02-19,183.00
2014-02-21,185.00
2014-02-23,187.00
2014-02-25,189.00
2014-02-27,191.00
2014-03-01,193.00
2014-03-03,195.00
2014-03-05,197.00
2014-03-07,199.00
2014-03-09,201.00
2014-03-11,203.00
2014-03-13,205.00
2014-03-15,207.00
2014-03-17,209.00
2014-03-19,211.00
2014-03-21,213.00
2014-03-23,215.00
2014-03-25,217.00
2014-03-27,219.00
2014-03-29,221.00
2014-03-31,223.00
2014-04-02,225.00
2014-04-04,227.00
2014-04-06,229.00
2014-04-08,231.00
2014-04-10,233.00
2014-04-12,235.00
2014-04-14,237.00
2014-04-16,239.00
2014-04-18,241.00
2014-04-20,243.00
2014-04-22,245.00
2014-04-24,247.00
2014-04-26,249.00
2014-04-28,251.00
2014-04-30,253.00
2014-05-02,255.00
2014-05-04,257.00
2014-05-06,259.00
2014-05-08,261.00
2014-05-10,263.00
2014-05-12,265.00
2014-05-14,267.00
2014-05-16,269.00
2014-05-18,271.00
2014-05-20,273.00
2014-05-22,275.00
2014-05-24,277.00
2014-05-26,279.00
2014-05-28,281.00
2014-05-30,283.00
2014-06-01,285.00
2014-06-03,287.00
2014-06-05,289.00
2014-06-07,291.00
2014-06-09,293.00
2014-06-11,295.00
2014-06-13,297.00
2014-06-15,299.00
2014-06-17,301.00
2014-06-19,303.00
2014-06-21,305.00
2014-06-23,307.00
2014-06-25,309.00
2014-06-27,311.00
2014-06-29,313.00
2014-07-01,315.00
2014-07-03,317.00
2014-07-05,319.00
2014-07-07,321.00
2014-07-09,323.00
2014-07-11,325.00
2014-07-13,327.00
2014-07-15,329.00
2014-07-17,331.00
2014-07-19,333.00
2014-07-21,335.00
2014-07-23,337.00
2014-07-25,339.00
2014-07-27,341.00
2014-07-29,343.00
2014-07-31,345.00
2014-08-02,347.00
2014-08-04,349.00
2014-08-06,351.00
2014-08-08,353.00
2014-08-10,355.00
2014-08-12,357.00
2014-08-14,359.00
2014-08-16,361.00
2014-08-18,363.00
2014-08-20,365.00
2014-08-22,367.00
2014-08-24,369.00
2014-08-26,371.00
2014-08-28,373.00
2014-08-30,375.00
2014-09-01,377.00
2014-09-03,379.00
2014-09-05,381.00
2014-09-07,383.00
2014-09-09,385.00
2014-09-11,387.00
2014-09-13,389.00
2014-09-15,391.00
2014-09-17,393.00
2014-09-19,395.00
2014-09-21,397.00
2014-09-23,399.00
2014-09-25,401.00
2014-09-27,403.00
2014-09-29,405.00
2014-10-01,407.00
2014-10-03,409.00
2014-10-05,411.00
2014-10-07,413.00
2014-10-09,415.00
2014-10-11,417.00
2014-10-13,419.00
2014-10-15,421.00
2014-10-17,423.00
2014-10-19,425.00
2014-10-21,427.00
2014-10-23,429.00
2014-10-25,431.00
2014-10-27,433.00
2014-10-29,435.00
2014-10-31,437.00
2014-11-02,439.00
2014-11-04,441.00
2014-11-06,443.00
2014-11-08,445.00
2014-11-10,447.00
2014-11-12,449.00
2014-11-14,451.00
2014-11-16,453.00
2014-11-18,455.00
2014-11-20,457.00
2014-11-22,459.00
2014-11-24,461.00
2014-11-26,463.00
2014-11-28,465.00
2014-11-30,467.00
2014-12-02,469.00
2014-12-04,471.00
2014-12-06,473.00
2014-12-08,475.00
2014-12-10,477.00
2014-12-12,479.00
2014-12-14,481.00
2014-12-16,483.00
2014-12-18,485.00
2014-12-20,487.00
2014-12-22,489.00
2014-12-24,491.00
2014-12-26,493.00
2014-12-28,495.00
2014-12-30,497.00
2015-01-01,499.00
2015-01-03,501.00
2015-01-05,503.00
2015-01-07,505.00
2015-01-09,507.00
2015-01-11,509.00
2015-01-13,511.00
2015-01-15,513.00
2015-01-17,515.00
2015-01-19,517.00
2015-01-21,519.00
2015-01-23,521.00
2015-01-25,523.00
2015-01-27,525.00
2015-01-29,527.00
2015-01-31,529.00
2015-02-02,531.00
2015-02-04,533.00
2015-02-06,535.00
2015-02-08,537.00
2015-02-10,539.00
2015-02-12,541.00
2015-02-14,543.00
2015-02-16,545.00
2015-02-18,547.00
2015-02-20,549.00
2015-02-22,551.00
2015-02-24,553.00
2015-02-26,555.00
2015-02-28,557.00
2015-03-02,559.00
2015-03-04,561.00
2015-03-06,563.00
2015-03-08,565.00
2015-03-10,567.00
2015-03-12,569.00
2015-03-14,571.00
2015-03-16,573.00
2015-03-18,575.00
2015-03-20,577.00
2015-03-22,579.00
2015-03-24,581.00
2015-03-26,583.00
2015-03-28,585.00
2015-03-30,587.00
2015-04-01,589.00
2015-04-03,591.00
2015-04-05,593.00
2015-04-07,595.00
2015-04-09,597.00
2015-04-11,599.00
2015-04-13,601.00
2015-04-15,603.00
2015-04-17,605.00
2015-04-19,607.00
2015-04-21,609.00
2015-04-23,611.00
2015-04-25,613.00
2015-04-27,615.00
2015-04-29,617.00
2015-05-01,619.00
2015-05-03,621.00
2015-05-05,623.00
2015-05-07,625.00
2015-05-09,627.00
2015-05-11,629.00
2015-05-13,631.00
2015-05-15,633.00
2015-05-17,635.00
2015-05-19,637.00
2015-05-21,639.00
2015-05-23,641.00
2015-05-25,643.00
2015-05-27,645.00
2015-05-29,647.00
2015-05-31,649.00
2015-06-02,651.00
2015-06-04,653.00
2015-06-06,655.00
2015-06-08,657.00
2015-06-10,659.00
2015-06-12,661.00
2015-06-14,663.00
2015-06-16,665.00
2015-06-18,667.00
2015-06-20,669.00
2015-06-22,671.00
2015-06-24,673.00
2015-06-26,675.00
2015-06-28,677.00
2015-06-30,679.00
2015-07-02,681.00
2015-07-04,683.00
2015-07-06,685.00
2015-07-08,687.00
2015-07-10,689.00
2015-07-12,691.00
2015-07-14,693.00
2015-07-16,695.00
2015-07-18,697.00
2015-07-20,699.00
2015-07-22,701.00
2015-07-24,703.00
2015-07-26,705.00
2015-07-28,707.00
2015-07-30,709.00
2015-08-01,711.00
2015-08-03,713.00
2015-08-05,715.00
2015-08-07,717.00
2015-08-09,719.00
2015-08-11,721.00
2015-08-13,723.00
2015-08-15,725.00
2015-08-17,727.00
2015-08-19,729.00
2015-08-21,731.00
2015-08-23,733.00
2015-08-25,735.00
2015-08-27,737.00
2015-08-29,739.00
2015-08-31,741.00
2015-09-02,743.00
2015-09-04,745.00
2015-09-06,747.00
2015-09-08,749.00
2015-09-10,751.00
2015-09-12,753.00
2015-09-14,755.00
2015-09-16,757.00
2015-09-18,759.00
2015-09-20,761.00
2015-09-22,763.00
2015-09-24,765.00
2015-09-26,767.00
2015-09-28,769.00
2015-09-30,771.00
2015-10-02,773.00
2015-10-04,775.00
2015-10-06,777.00
2015-10-08,779.00
2015-10-10,781.00
2015-10-12,783.00
2015-10-14,785.00
2015-10-16,787.00
2015-10-18,789.00
2015-10-20,791.00
2015-10-22,793.00
2015-10-24,795.00
2015-10-26,797.00
2015-10-28,799.00
2015-10-30,801.00
2015-11-01,803.00
2015-11-03,805.00
2015-11-05,807.00
2015-11-07,809.00
2015-11-09,811.00
2015-11-11,813.00
2015-11-13,815.00
2015-11-15,817.00
2015-11-17,819.00
2015-11-19,821.00
2015-11-21,823.00
2015-11-23,825.00
2015-11-25,827.00
2015-11-27,829.00
2015-11-29,831.00
2015-12-01,833.00
2015-12-03,835.00
2015-12-05,837.00
2015-12-07,839.00
2015-12-09,841.00
2015-12-11,843.00
2015-12-13,845.00
2015-12-15,847.00
2015-12-17,849.00
